, <IntegerLiteral>,<FloatLiteral>,<MultiplicativeOp>,<AdditiveOp>,<->>,<;>,<:>,<Comma>,<=>,<!>,<RelationalOp>,<ColourLiteral>,<Comment>,<__read>,<PadWidth>,<__randi>,<__print>,<__delay>,<__pixel>,<PadHeight>,<__pixelr>,<BooleanLiteral>,<Identifier>,<while>,<let>,<(>,<)>,<{>,<}>,<Type>,<not>,<return>,<if>,<else>,<for>,<fun>
<Program>,,,,,,,,,,,,,,,,,1,1,1,,1,,1,1,1,,,,,,,,1,,1,1
<Block>,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
<Statement>,,,,,,,,,,,,,,,,,3,3,3,,3,,3,3,3,,,,,,,,3,,3,3
<FunctionDecl>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
<FormalParams>,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
<FormalParam>,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
<WhileStatement>,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
<ForStatement>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
<IfStatement>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
<RtrnStatement>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
<PixelStatement>,,,,,,,,,,,,,,,,,,,11,,11,,,,,,,,,,,,,,,
<DelayStatement>,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
<PrintStatement>,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
<VariableDecl>,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,
<Assignment>,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
<Expr>,16,16,,16 (Needs to be -),,,,,,,,16,,16,16,16,,,,16,,16,16,,,16,,,,,16,,,,,
<SimpleExpr>,17,17,,17(Needs to be -),,,,,,,,17,,17,17,17,,,,17,,17,17,,,17,,,,,17,,,,,
<Term>,18,18,,18(Needs to be -),,,,,,,,18,,18,18,18,,,,18,,18,18,,,18,,,,,18,,,,,
<Factor>,19,19,,19(Needs to be -),,,,,,,,19,,19,19,19,,,,19,,19,19,,,19,,,,,19,,,,,
<Unary>,,,,20Nneeds to be -),,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
<SubExpr>,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
<FunctionCall>,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
<ActualParams>,23,23,,23(Needs to be -),,,,,,,,23,,23,23,23,,,,23,,23,23,,,23,,,,,23,,,,,
<Literal>,24,24,,,,,,,,,,24,,24,24,,,,,24,,24,,,,,,,,,,,,,,
<PadRead>,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
<PadRandI>,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,
