,<Letter>,<Digit>,<TokenDelim>,<(>,<)>,<{>,<}>,<*>,<+>,<->,<>>,<;>,<:>,<Comma>,<=>,<!>,<<>,<#>,</>,<TokenDelimEnter>,<_>,<.>
S0,Siden,Sint,Sdelim,Sbrac1,Sbrac2,Sbrac3,Sbrac4,Sstar,Sadd,Ssub,Sor,Sscol,Scol,Scomm,Sequ,Snot,Sor,Sinv2,Sdiv,Sdelim,Sinv8,Serr
Siden,Siden,Siden,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Siden,Serr
Sdelim,Serr,Serr,Sdelim,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Sdelim,Serr,Serr
Sint,Serr,Sint,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Sinv1
Sinv1,Serr,Sfloat,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sfloat,Serr,Sfloat,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sbrac1,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sbrac2,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sbrac3,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sbrac4,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sstar,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Sadd,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
Ssub,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Sarr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr,Serr
